Kabupaten/Kota,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Bogor,50168.52,59.73,299675.82
Sukabumi,81612.3,57.2,466835.93
Cianjur,105305.7,59.91,630847.78
Bandung,51947.62,64.33,334188.58
Garut,71635.66,63.51,454937.51
Tasikmalaya,66324.47,53.29,353415.07
Ciamis,44307.13,53.32,236248.23
Kuningan,41522.97,53.81,223427.76
Cirebon,84465.74,60.45,510632.02
Majalengka,87220.48,55.5,484085.66
Sumedang,49430.79,55,271869
Indramayu,212866.19,65.74,1399352.12
Subang,163881.64,59.12,968941.45
Purwakarta,30629.17,58.9,180397.1
Karawang,183065.46,56.89,1041530.95
Bekasi,84199.55,49.46,416476.98
Bandung Barat,27566.67,53.98,148802.98
Pangandaran,24131.55,48.98,118188.45
Kota Bogor,28.35,53.05,150.39
Kota Sukabumi,2337.35,58.58,13693.1
Kota Bandung,940.85,69.59,6547.7
Kota Cirebon,99.81,63.94,638.23
Kota Bekasi,282.68,42.86,1211.69
Kota Depok,5.82,56.24,32.73
Kota Cimahi,70.93,61.38,435.34
Kota Tasikmalaya,6532.64,54.19,35403.54
Kota Banjar,4782.04,60.46,28913.8
Jawa Barat,1475362.09,58.47,8626879.91