Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
,2022,2022,2022,2022,2022,2022,2022
Simeulue,0,2.075,0.022,0.002,-,0.014,-
Aceh Singkil,0,1.621,0.007,0.057,0,0.059,0
Aceh Selatan,0,1.905,0.004,0.019,0.001,0.015,-
Aceh Tenggara,0,1.972,0.003,0.012,-,0.003,-
Aceh Timur,0,1.642,0.014,0.021,0.007,0.034,0
Aceh Tengah,0,1.681,0.009,0.024,0.001,0.032,-
Aceh Barat,0,1.522,0.008,0.036,0.003,0.013,0.003
Aceh Besar,0,1.537,0.003,0.025,0.003,0.025,0.001
Pidie,0,2.018,0.007,0.014,0,0.012,0
Bireuen,0,1.563,0.008,0.045,0.001,0.017,0.001
Aceh Utara,0,1.662,0.005,0.011,-,0.021,-
Aceh Barat Daya,0,1.833,0.014,0.033,0,0.009,-
Gayo Lues,0,2.097,0.027,0.046,0.015,0.022,0
Aceh Tamiang,0,1.517,0.002,0.009,0.002,0.031,0.002
Nagan Raya,0,1.871,0.023,0.04,0.002,0.033,0
Aceh Jaya,0,1.901,0.011,0.047,0.001,0.017,0.001
Bener Meriah,0,2.011,0.013,0.008,0.002,0.025,0
Pidie Jaya,0,1.986,0.006,0.026,0.004,0.019,0
Kota Banda Aceh,0,1.131,0.004,0.031,0,0.033,0.004
Kota Sabang,0,1.428,0.008,0.028,0.001,0.022,0
Kota Langsa,0,1.283,0.002,0.016,-,0.019,0.002
Kota Lhokseumawe,0,1.368,0.004,0.024,0,0.019,-
Kota Subulussalam,0,1.733,0.003,0.019,0.01,0.025,0.001
Nias,0,2.285,0.002,0.002,0,0.018,-
Mandailing Natal,0,2.133,0.002,0.007,0.002,0.007,-
Tapanuli Selatan,0,2.162,0.004,0.029,0.001,0.01,-
Tapanuli Tengah,0,1.938,0.001,0.012,0.001,0.006,-
Tapanuli Utara,0,2.112,0.008,0.012,-,0.016,-
Toba Samosir,0,1.885,0.002,0.01,0.008,0.012,-
Labuhan Batu,0,1.796,0.008,0.006,-,0.015,-
Asahan,0,1.507,0.015,0.019,0.001,0.034,0.004
Simalungun,0,1.658,0.005,0.021,0.002,0.014,0.002
Dairi,0,2.039,0.002,0.003,-,0.005,0.001
Karo,0,1.992,0.004,0.004,0.002,0.007,-
Deli Serdang,0,1.631,0.007,0.02,0.006,0.035,0
Langkat,0,1.585,0.003,0.024,0.005,0.041,0
Nias Selatan,0,2.574,0.002,-,-,0.016,-
Humbang Hasundutan,0,2.269,0.003,0.005,0.002,0.007,-
Pakpak Bharat,0,2.078,0.009,0.007,-,0.022,0.001
Samosir,0,2.008,0.003,0.006,-,0.014,-
Serdang Bedagai,0,1.559,0.003,0.018,0.001,0.025,0.002
Batu Bara,0,1.539,0.002,0.021,0,0.022,0.002
Padang Lawas Utara,0,2.371,0.001,0.004,0.002,0.015,-
Padang Lawas,0,2.102,0.003,0.01,0,0.014,0
Labuhan Batu Selatan,0,1.753,-,0.009,0.004,0.021,0.001
Labuhan Batu Utara,0,1.649,0.002,0.019,0.004,0.02,0
Nias Utara,0,2.538,0.002,0.006,0.001,0.009,-
Nias Barat,0,2.497,0,-,-,0.006,-
Kota Sibolga,0,1.454,0.001,0.003,-,0.005,-
Kota Tanjung Balai,0,1.511,0.001,0.022,-,0.021,0.004
Kota Pematang Siantar,0,1.438,0.003,0.02,0.001,0.014,0.001
Kota Tebing Tinggi,0,1.432,0.004,0.016,-,0.02,-
Kota Medan,0,1.448,0.002,0.027,0.001,0.021,0.001
Kota Binjai,0,1.427,0.002,0.018,0,0.019,-
Kota Padangsidimpuan,0,1.627,0.006,0.016,0.001,0.004,0.001
Kota Gunungsitoli,0,2.135,0.001,0.003,-,0.012,0
Kepulauan Mentawai,0,1.287,0.01,0.005,0,0.061,0.001
Pesisir Selatan,0,1.622,0.016,0.009,0.004,0.013,0.001
Solok,0,2.004,0.008,0.053,0.007,0.022,0.002
Sijunjung,0,1.702,0.005,0.023,0,0.02,0
Tanah Datar,0,1.656,0.001,0.008,0.003,0.011,0.001
Padang Pariaman,0,1.521,0.002,0.003,0,0.011,0
Agam,0,1.703,0.003,0.006,0.001,0.021,0.002
Lima Puluh Kota,0,1.766,0.002,0.007,-,0.008,0.001
Pasaman,0,2.094,0.003,0.025,-,0.01,0.002
Solok Selatan,0,1.897,0.011,0.034,0,0.028,0.001
Dharmasraya,0,1.386,0.003,0.011,0.002,0.028,0.001
Pasaman Barat,0,2.095,0.004,0.009,0.001,0.01,0
Kota Padang,0,1.338,0.003,0.018,0,0.021,0.001
Kota Solok,0,1.479,0.003,0.011,0.001,0.021,0.001
Kota Sawah Lunto,0,1.463,0.002,0.016,0,0.029,0.001
Kota Padang Panjang,0,1.328,0.001,0.013,0.001,0.022,0
Kota Bukittinggi,0,1.257,0.004,0.021,0.003,0.015,0
Kota Payakumbuh,0,1.334,0.007,0.008,0.001,0.014,0.001
Kota Pariaman,0,1.229,0.001,0.001,0,0.017,0.003
Kuantan Singingi,0,1.435,0.005,0.031,0.002,0.046,-
Indragiri Hulu,0,1.401,0.018,0.019,0.007,0.032,0.002
Indragiri Hilir,0,1.346,0.009,0.027,0.003,0.083,0.003
Pelalawan,0,1.666,0.01,0.039,0,0.057,0
Siak,0,1.442,0.008,0.034,0.002,0.05,0.001
Kampar,0,1.495,0.002,0.036,0.001,0.055,0
Rokan Hulu,0,1.787,0.002,0.014,0.001,0.038,-
Bengkalis,0,1.329,0.007,0.018,0.009,0.06,-
Rokan Hilir,0,1.53,0.002,0.018,0.003,0.05,0.001
Kepulauan Meranti,0,1.434,0.012,0.01,0.002,0.095,0
Kota Pekanbaru,0,1.135,0.004,0.031,0.001,0.036,0
Kota Dumai,0,1.431,0.001,0.019,0.001,0.046,0.001
Kerinci,0,1.802,0.008,0.032,-,0.032,0.001
Merangin,0,1.68,0.007,0.011,0,0.031,-
Sarolangun,0,1.616,0.005,0.032,0,0.069,-
Batang Hari,0,1.538,0.003,0.007,-,0.096,-
Muaro Jambi,0,1.539,0.005,0.044,0.002,0.119,0.003
Tanjung Jabung Timur,0,1.403,0.007,0.034,0.001,0.091,0.001
Tanjung Jabung Barat,0,1.261,0.007,0.019,0.001,0.102,0
Tebo,0,1.57,0.018,0.01,0.001,0.075,0
Bungo,0,1.51,0.007,0.022,0.002,0.054,-
Kota Jambi,0,1.184,0.002,0.039,0.001,0.081,0.001
Kota Sungai Penuh,0,1.599,0.007,0.009,0.003,0.016,0.001
Ogan Komering Ulu,0,1.658,0.007,0.015,0.001,0.113,0
Ogan Komering Ilir,0,1.714,0.026,0.036,0.003,0.102,-
Muara Enim,0,1.621,0.013,0.012,0.001,0.127,0
Lahat,0,2.034,0.004,0.023,0.002,0.1,-
Musi Rawas,0,1.723,0.006,0.027,0.001,0.072,-
Musi Banyuasin,0,1.588,0.016,0.031,0,0.152,-
Banyu Asin,0,1.693,0.02,0.036,0.003,0.153,0.016
Ogan Komering Ulu Selatan,0,1.83,0.001,0.005,0,0.052,-
Ogan Komering Ulu Timur,0,1.575,0.003,0.018,0,0.067,0.002
Ogan Ilir,0,1.484,0.029,0.016,0,0.142,0.006
Empat Lawang,0,1.875,0.008,0.012,0.004,0.094,0.001
Penukal Abab Lematang Ilir,0,1.984,0.026,0.002,0.001,0.172,0.006
Musi Rawas Utara,0,1.835,0.007,0.025,0.001,0.087,-
Kota Palembang,0,1.277,0.006,0.036,0.001,0.144,0.002
Kota Prabumulih,0,1.283,0.003,0.014,0.002,0.069,0.007
Kota Pagar Alam,0,1.615,0.004,0.027,0.004,0.065,0.001
Kota Lubuklinggau,0,1.516,0.002,0.023,0.001,0.057,0
Bengkulu Selatan,0,1.761,0.003,0.03,-,0.033,0.001
Rejang Lebong,0,1.816,0.008,0.027,0.004,0.045,-
Bengkulu Utara,0,1.702,0.003,0.023,0.005,0.045,0
Kaur,0,2.12,0.023,0.048,0.002,0.053,0
Seluma,0,1.657,0.017,0.063,0.004,0.037,0.001
Mukomuko,0,1.698,0.008,0.02,-,0.044,0
Lebong,0,2.202,0.005,0.015,0.002,0.031,0
Kepahiang,0,1.771,0.004,0.031,0.001,0.044,0
Bengkulu Tengah,0,1.851,0.001,0.021,0.006,0.021,-
Kota Bengkulu,0,1.362,0.003,0.042,0.001,0.034,0
Lampung Barat,0,1.895,0.004,0.048,0.006,0.083,-
Tanggamus,0,1.725,0.014,0.015,0.002,0.098,-
Lampung Selatan,0,1.633,0.012,0.031,0.001,0.078,0
Lampung Timur,0,1.621,0.005,0.044,0.007,0.072,-
Lampung Tengah,0,1.578,0.003,0.015,0.002,0.07,0.002
Lampung Utara,0,1.528,0.004,0.015,0,0.087,0
Way Kanan,0,1.672,0.008,0.031,0.001,0.082,0
Tulangbawang,0,1.598,0.01,0.044,0.002,0.047,0.002
Pesawaran,0,1.626,0.002,0.011,0.001,0.09,0
Pringsewu,0,1.542,0.004,0.025,0,0.072,0
Mesuji,0,1.696,0.001,0.019,0.001,0.062,0.001
Tulang Bawang Barat,0,1.596,0.001,0.026,-,0.03,-
Pesisir Barat,0,1.779,-,0.01,0.001,0.029,-
Kota Bandar Lampung,0,1.259,0.001,0.035,0.004,0.069,0.001
Kota Metro,0,1.198,0.002,0.019,0.001,0.039,0.001
Bangka,0,1.438,0.005,0.016,0.001,0.048,-
Belitung,0,1.424,0.001,0.004,-,0.054,-
Bangka Barat,0,1.46,0.008,0.023,0.002,0.051,-
Bangka Tengah,0,1.488,0.024,0.023,0.005,0.059,0
Bangka Selatan,0,1.702,0.005,0.009,-,0.044,-
Belitung Timur,0,1.51,0.007,0.019,0.001,0.065,0
Kota Pangkal Pinang,0,1.272,0.002,0.029,0.003,0.078,0.001
Karimun,0,1.242,0,0.003,0.001,0.039,0.002
Bintan,0,1.259,0.005,0.028,-,0.069,0.001
Natuna,0,1.134,0,0.006,-,0.089,0
Lingga,0,1.319,0.002,0.009,0.005,0.095,0
Kepulauan Anambas,0,1.071,0.001,0.004,0,0.042,0.001
Kota Batam,0,1.298,0.008,0.028,0.004,0.064,0.005
Kota Tanjung Pinang,0,1.004,-,0.009,0.001,0.026,0.001
Kep. Seribu,0,1.676,0,0.005,-,0.048,-
Kota Jakarta Selatan,0,1.341,0.002,0.034,0.001,0.056,0.001
Kota Jakarta Timur,0,1.403,0.004,0.036,0.004,0.066,0.005
Kota Jakarta Pusat,0,1.351,0.004,0.012,0.001,0.041,0.002
Kota Jakarta Barat,0,1.317,0.002,0.029,0.002,0.041,0.002
Kota Jakarta Utara,0,1.38,0.001,0.024,0.002,0.054,0.001
Bogor,0,1.613,0.007,0.018,0.003,0.076,0.002
Sukabumi,0,1.938,0.015,0.035,0.001,0.097,0
Cianjur,0,1.959,0.015,0.027,0.001,0.063,0
Bandung,0,1.465,0.001,0.015,0.002,0.05,0.001
Garut,0,1.592,0.006,0.026,0.001,0.073,0
Tasikmalaya,0,1.75,0.007,0.006,0.001,0.083,0
Ciamis,0,1.883,0.015,0.019,0.001,0.128,0
Kuningan,0,1.411,0.003,0.021,0.001,0.073,0.001
Cirebon,0,1.418,0.004,0.011,0.001,0.033,0.003
Majalengka,0,1.523,0.003,0.01,0.001,0.047,-
Sumedang,0,1.679,0.013,0.023,0.002,0.071,0.001
Indramayu,0,1.572,0.005,0.009,0.002,0.021,0
Subang,0,1.775,0.003,0.004,0.001,0.035,-
Purwakarta,0,1.742,0.008,0.006,0.001,0.043,0.001
Karawang,0,1.82,0.005,0.004,-,0.025,0.001
Bekasi,0,1.557,0.001,0.018,0.001,0.05,0.003
Bandung Barat,0,1.632,0.007,0.019,0.015,0.067,0.001
Pangandaran,0,1.874,0.014,0.02,0.002,0.116,0.003
Kota Bogor,0,1.523,0.001,0.02,0.002,0.061,0.002
Kota Sukabumi,0,1.546,0.007,0.023,0.002,0.042,-
Kota Bandung,0,1.246,0.01,0.013,0.004,0.056,0.001
Kota Cirebon,0,1.269,0.001,0.011,0,0.048,0
Kota Bekasi,0,1.272,0.004,0.025,0.004,0.08,0.001
Kota Depok,0,1.342,0.004,0.036,0.003,0.073,0.001
Kota Cimahi,0,1.268,0.003,0.013,0.004,0.054,0.001
Kota Tasikmalaya,0,1.641,0.006,0.01,0.001,0.064,0
Kota Banjar,0,1.738,0.005,0.015,0.004,0.092,0
Cilacap,0,1.628,0.001,0.01,0.001,0.065,0
Banyumas,0,1.36,0.002,0.026,0.001,0.076,0.007
Purbalingga,0,1.269,0.002,0.014,0.009,0.074,0.013
Banjarnegara,0,1.226,0.004,0.015,0.025,0.094,0.001
Kebumen,0,1.383,0.002,0.008,0.001,0.083,0
Purworejo,0,1.269,0.005,0.012,0,0.077,0.001
Wonosobo,0,1.238,0.018,0.019,0.054,0.074,0.012
Magelang,0,1.235,0.004,0.006,0.012,0.079,0
Boyolali,0,1.139,0.001,0.014,0.001,0.08,0.001
Klaten,0,1.255,0.003,0.006,0.001,0.063,0
Sukoharjo,0,1.28,0.002,0.012,0.001,0.056,0.003
Wonogiri,0,1.474,0.012,0.006,0.006,0.066,0.004
Karanganyar,0,1.269,0.003,0.006,0.002,0.074,0.001
Sragen,0,1.401,0.005,0.005,0.001,0.066,0.001
Grobogan,0,1.503,0.008,0.026,0.005,0.084,0.002
Blora,0,1.443,0.003,0.051,0.014,0.04,0.005
Rembang,0,1.498,0.02,0.016,0.015,0.041,0.002
Pati,0,1.429,0.001,0.018,0.001,0.061,0.007
Kudus,0,1.255,0.007,0.014,0,0.042,0.002
Jepara,0,1.45,0.003,0.013,0.001,0.04,0.001
Demak,0,1.536,0.003,0.019,0.001,0.035,0.001
Semarang,0,1.302,0.01,0.012,0.001,0.076,0.001
Temanggung,0,1.281,0.01,0.004,0.023,0.045,0.002
Kendal,0,1.382,0.001,0.015,0.018,0.037,0
Batang,0,1.379,0.004,0.01,0.003,0.053,0.002
Pekalongan,0,1.322,0.006,0.004,0.004,0.054,0.007
Pemalang,0,1.43,0.005,0.013,0.011,0.042,0.004
Tegal,0,1.369,0,0.007,0.001,0.035,0.002
Brebes,0,1.483,0.001,0.009,-,0.039,0.001
Kota Magelang,0,1.12,0.001,0.027,-,0.041,0.001
Kota Surakarta,0,1.201,0.001,0.015,0.005,0.041,0.001
Kota Salatiga,0,1.104,0.007,0.042,0.004,0.052,0.002
Kota Semarang,0,1.134,0.007,0.018,0.001,0.045,0.001
Kota Pekalongan,0,1.289,0.002,0.017,0.002,0.027,0.002
Kota Tegal,0,1.119,0.008,0.015,0.001,0.029,0
Kulon Progo,0,1.303,0.002,0.02,0.001,0.073,0.001
Bantul,0,1.222,0.002,0.014,0.002,0.05,0.001
Gunung Kidul,0,1.491,0.005,0.004,0.01,0.06,0.005
Sleman,0,1.218,0.003,0.05,0.004,0.066,0.001
Kota Yogyakarta,0,1.05,0.003,0.029,0.003,0.032,0.002
Pacitan,0,1.505,0.019,0.009,0.002,0.044,0
Ponorogo,0,1.426,0.007,0.017,0.008,0.054,0.008
Trenggalek,0,1.511,0.01,0.014,0.002,0.019,0.009
Tulungagung,0,1.393,0.008,0.024,0.007,0.032,0.003
Blitar,0,1.275,0.004,0.032,0.012,0.024,0.006
Kediri,0,1.429,0.002,0.047,0.009,0.034,0.004
Malang,0,1.389,0.004,0.045,0.042,0.036,0.002
Lumajang,0,1.656,0.006,0.117,0.111,0.057,0.001
Jember,0,1.668,0.005,0.092,0.055,0.056,0.003
Banyuwangi,0,1.57,0.005,0.079,0.019,0.024,0.001
Bondowoso,0,1.559,0.009,0.095,0.043,0.043,0.001
Situbondo,0,1.673,0.003,0.069,0.061,0.029,0
Probolinggo,0,1.671,0.005,0.075,0.109,0.027,0.001
Pasuruan,0,1.541,0.011,0.072,0.052,0.045,0.001
Sidoarjo,0,1.31,0.003,0.061,0.005,0.037,0
Mojokerto,0,1.461,0.005,0.104,0.023,0.043,0.003
Jombang,0,1.346,0.005,0.071,0.009,0.044,0.005
Nganjuk,0,1.499,0.001,0.053,0.003,0.025,0.003
Madiun,0,1.411,0.007,0.04,0.001,0.054,0.001
Magetan,0,1.356,0.002,0.033,0.003,0.058,0.001
Ngawi,0,1.537,0.005,0.017,0.003,0.053,0
Bojonegoro,0,1.623,0.003,0.054,0.012,0.063,0.028
