Kabupaten/Kota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tahun
Flores Timur,0,2.154,0.001,0.083,0.155,0.058,0.007,2022
Sikka,0,1.917,0.011,0.041,0.077,0.012,0.015,2022
Ende,0,2.192,0.002,0.114,0.053,0.03,0.001,2022
Ngada,0,2.007,0.002,0.069,0.202,0.019,0.001,2022
Manggarai,0,2.432,0.004,0.016,0.102,0.019,0.002,2022
Rote Ndao,0,2.16,-,0.019,0.008,0.01,-,2022
Manggarai Barat,0,2.368,0.005,0.034,0.022,0.021,0.004,2022
Sumba Tengah,0,1.9,-,0.047,0.407,0.007,-,2022
Sumba Barat Daya,0,1.958,0,0.056,0.529,0.009,0.001,2022
Nagekeo,0,1.848,0.003,0.043,0.167,0.012,0.006,2022
Manggarai Timur,0,2.563,0,0.068,0.147,0.023,0.001,2022
Sabu Raijua,0,2.521,0.004,0.143,0.025,0.007,0.005,2022
Malaka,0,2.193,0.013,0.23,0.264,0.01,0.003,2022
Kota Kupang,0,1.775,0,0.071,0.042,0.038,0.002,2022
Sambas,0,1.466,0.007,0.012,0.006,0.038,0.001,2022
Bengkayang,0,1.832,0.005,0.018,0.001,0.026,-,2022
Landak,0,1.927,0.021,0.022,0.005,0.021,0,2022
Mempawah,0,1.53,0.004,0.014,0.005,0.027,0.001,2022
Sanggau,0,1.657,0.01,0.008,0.003,0.022,0,2022
Ketapang,0,1.546,0.008,0.005,0.001,0.017,0,2022
Sintang,0,1.856,0.012,0.007,-,0.025,-,2022
Kapuas Hulu,0,1.763,0.004,0.02,0.006,0.046,-,2022
Sekadau,0,1.869,0.007,0.002,-,0.036,-,2022
Melawi,0,1.705,0.007,0.017,-,0.034,-,2022
Kayong Utara,0,1.65,0.018,0.014,0.001,0.042,-,2022
Kubu Raya,0,1.502,0.002,0.017,0.018,0.035,0,2022
Kota Pontianak,0,1.196,0.003,0.044,0.008,0.04,0.002,2022
Kota Singkawang,0,1.36,0.001,0.03,0,0.039,0.002,2022
Kotawaringin Barat,0,1.676,0.006,0.023,0.003,0.073,0.002,2022
Kotawaringin Timur,0,1.594,0.009,0.02,0.001,0.053,0.003,2022
Kapuas,0,1.83,0.001,0.01,0,0.061,-,2022
Barito Selatan,0,1.758,0.002,0.02,0.001,0.091,-,2022
Barito Utara,0,1.511,0.017,0.032,0.007,0.039,-,2022
Sukamara,0,1.483,0.017,0.011,0.002,0.052,0,2022
Lamandau,0,1.549,0.005,0.022,0.009,0.058,0.001,2022
Seruyan,0,1.694,0.008,0.018,0.001,0.05,-,2022
Katingan,0,1.677,0.014,0.008,0,0.039,0.001,2022
Pulang Pisau,0,1.757,0.004,0.009,0,0.08,-,2022
Gunung Mas,0,1.556,0.003,0.022,0.005,0.02,0.001,2022
Barito Timur,0,1.909,0.006,0.021,0.001,0.067,-,2022
Murung Raya,0,1.679,0.009,0.018,0.001,0.023,0.001,2022
Kota Palangka Raya,0,1.293,0.002,0.042,0.004,0.061,0.002,2022
Tanah Laut,0,1.579,0.003,0.022,0.001,0.073,0.001,2022
Kota Baru,0,1.538,0.005,0.019,0.001,0.063,0.002,2022
Banjar,0,1.627,0.007,0.065,0.003,0.069,0.003,2022
Barito Kuala,0,1.718,0.002,0.04,0.001,0.055,0.002,2022
Tapin,0,1.53,0.002,0.036,0.004,0.067,-,2022
Hulu Sungai Selatan,0,1.64,0.001,0.028,0,0.039,0,2022
Hulu Sungai Tengah,0,1.651,0.004,0.021,0.001,0.035,-,2022
Hulu Sungai Utara,0,1.802,0.005,0.04,0.002,0.065,-,2022
Tabalong,0,1.534,0.003,0.022,0.001,0.088,0.001,2022
Tanah Bumbu,0,1.468,0.003,0.023,0.004,0.06,0,2022
Balangan,0,1.578,0.007,0.024,0.004,0.089,0.002,2022
Kota Banjarmasin,0,1.419,0.002,0.017,0.003,0.034,0.003,2022
Kota Banjar Baru,0,1.24,0.003,0.052,0.003,0.07,0.01,2022
Paser,0,1.45,0.009,0.017,0.002,0.061,-,2022
Kutai Barat,0,1.442,0.003,0.023,0.001,0.027,0,2022
Kutai Kartanegara,0,1.439,0.006,0.025,0.001,0.049,0,2022
Kutai Timur,0,1.413,0.002,0.065,0.002,0.067,0.002,2022
Berau,0,1.371,0.013,0.025,0.01,0.085,0.004,2022
Penajam Paser Utara,0,1.436,0.004,0.01,0.002,0.062,-,2022
Mahakam Ulu,0,1.594,0.015,0.017,0.001,0.037,-,2022
Kota Balikpapan,0,1.237,0.002,0.034,0.009,0.071,0.001,2022
Kota Samarinda,0,1.237,0.001,0.037,0.002,0.07,0.002,2022
Kota Bontang,0,1.252,0.004,0.069,0.003,0.063,0.002,2022
Malinau,0,1.592,0.013,0.017,0.002,0.096,0.001,2022
Bulungan,0,1.555,0.005,0.023,0.005,0.059,0.002,2022
Tana Tidung,0,1.446,0.009,0.027,0,0.067,0.001,2022
Nunukan,0,1.525,0.013,0.063,0.001,0.109,0,2022
Kota Tarakan,0,1.299,0.005,0.017,0.002,0.065,0,2022
Bolaang Mongondow,0,1.852,0.001,0.081,0.027,0.048,0.003,2022
Minahasa,0,1.737,0.002,0.016,0.003,0.065,0.001,2022
Kepulauan Sangihe,0,1.604,-,0.006,-,0.038,-,2022
Kepulauan Talaud,0,1.645,0.001,0.004,0.003,0.089,-,2022
Minahasa Selatan,0,1.949,0.002,0.024,0.012,0.06,0.001,2022
Minahasa Utara,0,1.756,0.016,0.019,0.005,0.038,0.002,2022
Bolaang Mongondow Utara,0,1.914,0.006,0.025,0.005,0.045,-,2022
Siau Tagulandang Biaro,0,1.79,0.009,-,-,0.02,0,2022
Minahasa Tenggara,0,1.911,0.006,0.018,0.018,0.052,-,2022
Bolaang Mongondow Selatan,0,1.862,0.001,0.052,0.121,0.032,-,2022
Bolaang Mongondow Timur,0,2.043,0.011,0.049,0.016,0.066,-,2022
Kota Manado,0,1.731,0.004,0.011,0.007,0.026,0.001,2022
Kota Bitung,0,1.798,0.003,0.012,0.01,0.034,-,2022
Kota Tomohon,0,1.912,0.002,0.023,0.003,0.061,0,2022
Kota Kotamobagu,0,1.752,0.008,0.049,0.025,0.032,0.006,2022
Banggai Kepulauan,0,1.902,0.001,0.011,0.005,0.026,0.003,2022
Banggai,0,1.799,0.001,0.056,0.012,0.033,0.003,2022
Morowali,0,1.764,0.002,0.013,0.007,0.043,-,2022
Poso,0,2.001,0.008,0.048,0.005,0.051,0,2022
Donggala,0,2.069,0.006,0.059,0.052,0.073,0.002,2022
Toli-Toli,0,1.651,0.006,0.033,0.001,0.054,-,2022
Buol,0,1.597,0.005,0.111,0.012,0.034,0,2022
Parigi Moutong,0,1.815,0.006,0.051,0.02,0.043,0.001,2022
Tojo Una-Una,0,1.588,0.005,0.037,0.013,0.034,0,2022
Sigi,0,2.036,0.012,0.044,0.022,0.05,0.002,2022
Banggai Laut,0,2.183,0.005,0.01,-,0.008,-,2022
Morowali Utara,0,2.01,0.001,0.027,0.018,0.044,0.001,2022
Kota Palu,0,1.599,0.01,0.052,0.003,0.036,-,2022
Kepulauan Selayar,0,1.828,0.008,0.053,0.093,0.129,0,2022
Bulukumba,0,2.064,0.045,0.099,0.066,0.139,0.001,2022
Bantaeng,0,1.714,0.02,0.05,0.089,0.1,0.002,2022
Jeneponto,0,1.994,0.022,0.04,0.023,0.134,0.001,2022
Takalar,0,1.855,0.007,0.036,0.006,0.091,-,2022
Gowa,0,1.754,0.006,0.054,0.007,0.091,0,2022
Sinjai,0,1.725,0.012,0.044,0.021,0.097,0.001,2022
Maros,0,1.799,0.004,0.089,0.006,0.113,0.003,2022
Pangkajene dan Kepulauan,0,2.465,0.011,0.043,0.005,0.154,0.001,2022
Barru,0,1.961,0.022,0.042,0.004,0.106,0.001,2022
Bone,0,1.798,0.021,0.027,0.003,0.129,0.001,2022
Soppeng,0,1.715,0.014,0.047,0.002,0.064,0.002,2022
Wajo,0,1.493,0.042,0.08,0.005,0.081,0.005,2022
Sidenreng Rappang,0,1.644,0.014,0.039,0.003,0.048,0,2022
Pinrang,0,1.55,0.004,0.078,0.007,0.056,0.002,2022
Enrekang,0,1.692,0.007,0.034,0.008,0.078,0.001,2022
Luwu,0,1.909,0.007,0.062,0.013,0.069,0.001,2022
Tana Toraja,0,1.989,0.004,0.019,0.006,0.016,-,2022
Luwu Utara,0,1.775,0.009,0.073,0.009,0.059,0,2022
Luwu Timur,0,1.899,0.009,0.042,0.006,0.06,0.006,2022
Toraja Utara,0,2.047,0.006,0.024,0.001,0.025,0,2022
Kota Makasar,0,1.714,0.006,0.042,0.003,0.082,0.001,2022
Kota Parepare,0,1.63,0.001,0.097,0.007,0.05,0.006,2022
Kota Palopo,0,1.425,0.004,0.101,0.005,0.061,0,2022
Buton,0,1.825,0.017,0.051,0.037,0.023,0,2022
Muna,0,1.964,0.004,0.037,0.087,0.022,0.003,2022
Konawe,0,1.8,0,0.024,0.001,0.045,0.002,2022
Kolaka,0,1.676,0.004,0.03,0.004,0.076,0.001,2022
Konawe Selatan,0,1.783,0,0.061,0.003,0.05,0,2022
Bombana,0,1.878,0.005,0.043,0.006,0.062,0.003,2022
Wakatobi,0,1.962,0.004,0.006,0.007,0.017,0,2022
Kolaka Utara,0,1.8,0.014,0.113,0.004,0.071,0.001,2022
Buton Utara,0,2.027,0.011,0.063,0.007,0.028,0.001,2022
Konawe Utara,0,1.773,0.005,0.064,0.003,0.051,0.003,2022
Kolaka Timur,0,1.886,0.001,0.035,0.002,0.056,0,2022
Konawe Kepulauan,0,1.615,0.002,0.029,0.004,0.056,0.001,2022
Muna Barat,0,2.066,0,0.037,0.103,0.035,0,2022
Buton Tengah,0,1.818,0.003,0.017,0.044,0.029,0.005,2022
Buton Selatan,0,1.766,0,0.027,0.144,0.019,0.006,2022
Kota Kendari,0,1.515,0.001,0.028,0.009,0.046,0.004,2022
Kota Baubau,0,1.695,0.001,0.013,0.017,0.019,0.003,2022
Boalemo,0,1.712,0.003,0.061,0.149,0.039,-,2022
Gorontalo,0,1.814,0.002,0.048,0.073,0.024,-,2022
Pohuwato,0,1.753,0.001,0.044,0.041,0.026,0.001,2022
Bone Bolango,0,1.64,0,0.044,0.051,0.023,0,2022
Gorontalo Utara,0,1.716,0.001,0.04,0.043,0.022,0,2022
Kota Gorontalo,0,1.527,-,0.034,0.023,0.039,0,2022
Majene,0,1.837,0.003,0.017,0,0.081,0.002,2022
Polewali Mandar,0,2.079,0.009,0.034,0.005,0.093,0.002,2022
Mamasa,0,2.26,0.007,0.006,0.002,0.04,-,2022
Mamuju,0,1.856,0.005,0.053,0.005,0.068,0,2022
Mamuju Utara,0,1.682,0.005,0.074,0.011,0.121,-,2022
Mamuju Tengah,0,1.824,0.008,0.048,0.002,0.089,0.002,2022
Maluku Tenggara Barat,0,1.616,0.002,0.035,0.024,0.022,0.004,2022
Maluku Tenggara,0,1.599,0.003,-,0.002,0.039,0.001,2022
Maluku Tengah,0,1.637,0.003,0.004,-,0.036,-,2022
Buru,0,1.54,0,0.01,0.003,0.059,0.003,2022
Kepulauan Aru,0,1.373,-,0,0.001,0.018,-,2022
Seram Bagian Barat,0,1.306,0.002,0.011,0.001,0.052,-,2022
Seram Bagian Timur,0,1.259,0.001,0.001,0.001,0.066,-,2022
Maluku Barat Daya,0,1.461,-,0.01,0.526,0.029,-,2022
Buru Selatan,0,1.493,0,0.002,-,0.032,-,2022
Kota Ambon,0,1.517,0.003,0.022,0.004,0.055,0.002,2022
Kota Tual,0,1.683,0.002,0.003,0.002,0.034,0.002,2022
Halmahera Barat,0,1.583,0.001,0.014,0.002,0.038,0,2022
Halmahera Tengah,0,1.327,0.003,0.018,0,0.062,-,2022
Kepulauan Sula,0,1.7,0.006,0.008,0.001,0.046,0,2022
Halmahera Selatan,0,1.571,0.001,0.006,0.001,0.041,-,2022
Halmahera Utara,0,1.484,0,0.024,0.001,0.07,0.001,2022
Halmahera Timur,0,1.468,0.001,0.024,0.003,0.06,-,2022
Pulau Morotai,0,1.522,0.006,0.057,0.001,0.045,-,2022
Pulau Taliabu,0,1.832,0.001,0.004,0,0.021,0,2022
Kota Ternate,0,1.564,0.004,0.008,-,0.01,0,2022
Kota Tidore Kepulauan,0,1.413,-,0.009,0,0.027,-,2022
Fakfak,0,1.628,0.003,0.019,0.004,0.08,0,2022
Kaimana,0,1.356,0,0.01,0.004,0.045,0.001,2022
Teluk Wondama,0,1.215,0.001,0.005,-,0.047,-,2022
Teluk Bintuni,0,1.548,0.001,0.009,0.001,0.039,-,2022
Manokwari,0,1.557,0.001,0.012,0.001,0.043,0.001,2022
Manokwari Selatan,0,1.364,-,0.009,0.002,0.066,-,2022
Pegunungan Arfak,0,1.329,0.002,0.029,0.001,0.008,-,2022
Raja Ampat,0,1.544,0.006,0.006,0.001,0.092,-,2022
Sorong,0,1.411,0,0.026,0.002,0.059,0.006,2022
Sorong Selatan,0,0.768,-,0.002,0,0.014,-,2022
Maybrat,0,1.436,0.006,0.03,0.003,0.008,-,2022
Tambrauw,0,1.406,-,0.008,0.002,0.023,-,2022
Kota Sorong,0,1.466,0.005,0.017,0.001,0.062,-,2022
Jayapura,0,1.3,-,0.025,0.002,0.047,-,2022
Kepulauan Yapen,0,1.206,-,0.005,-,0.026,-,2022
Biak Numfor,0,1.285,-,0.01,0.001,0.015,-,2022
Sarmi,0,1.396,-,0.005,-,0.017,-,2022
Keerom,0,1.287,0.001,0.013,0.01,0.026,-,2022
Waropen,0,1.324,-,0.001,0.001,0.075,-,2022
Supiori,0,1.889,0,0.003,0.002,0.088,-,2022
Mamberamo Raya,0,0.892,-,0,-,-,-,2022
Kota Jayapura,0,1.362,0.001,0.004,0.006,0.026,0,2022
Merauke,0,1.431,0.001,0.019,0.005,0.059,0.001,2022
Boven Digoel,0,1.206,0.003,0.01,-,0.009,0.003,2022
Mappi,0,1.1,0.001,0.006,-,0.004,-,2022
Asmat,0,1.022,-,0.001,-,0.003,-,2022
Mimika,0,1.357,0.003,0.009,0,0.05,0,2022
Dogiyai,0,0.862,-,0.026,0.004,-,-,2022
Deiyai,0,0.944,-,-,-,-,-,2022
Nabire,0,1.467,-,0.018,0,0.051,-,2022
Paniai,0,0.941,-,-,-,-,-,2022
Intan Jaya,0,0.768,-,-,-,-,-,2022
Puncak,0,0.174,-,0,-,-,-,2022
Puncak Jaya,0,0.707,0.252,-,-,0.001,-,2022
Nduga,0,0.576,0,0.066,0,-,-,2022
Jayawijaya,0,1.103,0.004,0.044,0,0.004,-,2022
Lanny Jaya,0,1.392,0,0.255,0,-,-,2022
Tolikara,0,1.534,-,0.082,-,-,-,2022
Mamberamo Tengah,0,0.429,-,0.307,0.003,0.001,-,2022
Yalimo,0,0.797,0.015,0.259,0.005,0.003,0,2022
Yahukimo,0,0.281,-,0.075,0,-,-,2022
Pegunungan Bintang,0,0.532,-,0.062,0.003,0.001,-,2022
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,,2023
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya,2023
,2023,2023,2023,2023,2023,2023,2023,2023
Simeulue,0,2.046,0.017,0.006,-,0.004,-,2023
Aceh Singkil,0,1.711,0.011,0.021,0.006,0.064,0.001,2023
Aceh Selatan,0,1.831,0.014,0.023,0.001,0.009,0.001,2023
Aceh Tenggara,0,2.09,0.008,0.003,-,0.007,0.001,2023
Aceh Timur,0,1.716,0.009,0.019,0.003,0.019,0,2023
Aceh Tengah,0,1.71,0.006,0.017,0.002,0.024,0,2023
Aceh Barat,0,1.525,0.006,0.031,0.003,0.006,-,2023
Aceh Besar,0,1.658,0.004,0.022,0.001,0.021,0.002,2023
Pidie,0,1.983,0.012,0.013,0,0.017,0.001,2023
Bireuen,0,1.664,0.004,0.02,0,0.008,0.001,2023
Aceh Utara,0,1.507,0.032,0.024,0.004,0.044,-,2023
Aceh Barat Daya,0,1.757,0.008,0.038,0,0.019,0.001,2023
Gayo Lues,0,2.199,0.034,0.032,0,0.024,-,2023
Aceh Tamiang,0,1.375,0.004,0.012,0.004,0.041,0.001,2023
Nagan Raya,0,1.734,0.039,0.081,0.005,0.079,0.007,2023
Aceh Jaya,0,1.963,0.006,0.051,0.004,0.01,0.002,2023
Bener Meriah,0,1.732,0.014,0.018,0.003,0.062,0.001,2023
Pidie Jaya,0,1.768,0.008,0.032,0.001,0.018,0.001,2023
Kota Banda Aceh,0,1.204,0.002,0.03,0.002,0.017,0.001,2023
Kota Sabang,0,1.536,0.001,0.019,-,0.015,-,2023
Kota Langsa,0,1.276,0.001,0.008,-,0.01,0.001,2023
Kota Lhokseumawe,0,1.296,0.003,0.018,0,0.016,-,2023
Kota Subulussalam,0,1.816,0.003,0.01,0.019,0.032,-,2023
Nias,0,2.484,0.002,0.001,-,0.008,0,2023
Mandailing Natal,0,2.228,0,0.009,0.001,0.01,-,2023
Tapanuli Selatan,0,2.151,0.002,0.007,-,0.012,-,2023
Tapanuli Tengah,0,1.888,0.001,0.005,-,0.009,0,2023
Tapanuli Utara,0,2.018,0.002,0.012,0.002,0.017,-,2023
Toba Samosir,0,2.077,0.002,0.018,-,0.013,0.004,2023
Labuhan Batu,0,1.725,0.001,0.025,0.001,0.038,0.001,2023
Asahan,0,1.486,0.006,0.021,0.009,0.027,0.002,2023
Simalungun,0,1.651,0.003,0.033,0.006,0.029,0.001,2023
Dairi,0,1.989,0.004,0.005,-,0.005,0,2023
Karo,0,2.056,0.016,0.019,-,0.013,-,2023
Deli Serdang,0,1.553,0.007,0.026,0.002,0.025,0.001,2023
Langkat,0,1.55,0.005,0.016,0.003,0.043,0.003,2023
Nias Selatan,0,2.473,0,-,-,0.009,-,2023
Humbang Hasundutan,0,2.304,0.001,0.004,0.001,0.015,-,2023
Pakpak Bharat,0,2.108,0.011,0.009,0.001,0.017,-,2023
Samosir,0,2.213,0.001,0.006,0.002,0.017,-,2023
Serdang Bedagai,0,1.672,0.014,0.016,0.005,0.028,0,2023
Batu Bara,0,1.501,0.006,0.014,0.003,0.023,0.003,2023
Padang Lawas Utara,0,2.41,0.001,0.002,0,0.014,-,2023
Padang Lawas,0,2.012,0.003,0.014,-,0.016,-,2023
Labuhan Batu Selatan,0,1.715,0.01,0.003,0,0.036,0,2023
Labuhan Batu Utara,0,1.754,0.001,0.02,0.003,0.018,0,2023
Nias Utara,0,2.538,0.001,0.014,0.002,0.019,-,2023
Nias Barat,0,2.489,0,0.004,-,0.002,-,2023
Kota Sibolga,0,1.5,0.001,0.004,-,0.005,0.001,2023
Kota Tanjung Balai,0,1.585,0.001,0.03,0.003,0.022,0.001,2023
Kota Pematang Siantar,0,1.472,0.003,0.038,0.003,0.026,0,2023
Kota Tebing Tinggi,0,1.425,0.002,0.016,0,0.016,0,2023
Kota Medan,0,1.447,0.002,0.033,0.004,0.029,0.001,2023
Kota Binjai,0,1.322,0.006,0.015,0.001,0.025,-,2023
Kota Padangsidimpuan,0,1.68,0.011,0.011,0.001,0.006,0.004,2023
Kota Gunungsitoli,0,1.963,-,0.002,-,0.007,-,2023
Kepulauan Mentawai,0,1.421,0.008,0,-,0.033,0.003,2023
Pesisir Selatan,0,1.724,0.003,0.011,0.001,0.021,0,2023
Solok,0,2.032,0.003,0.041,0.001,0.024,-,2023
Sijunjung,0,1.564,0.005,0.02,0,0.031,0.002,2023
Tanah Datar,0,1.679,0.006,0.004,0,0.016,0,2023
Padang Pariaman,0,1.445,0,0.004,0.001,0.009,0.002,2023
Agam,0,1.713,0.005,0.01,0.001,0.021,0,2023
Lima Puluh Kota,0,1.786,0.002,0.008,-,0.004,-,2023
Pasaman,0,1.919,0.001,0.011,-,0.007,0.001,2023
Solok Selatan,0,1.772,0.012,0.04,0.001,0.031,-,2023
Dharmasraya,0,1.48,0.003,0.023,0.001,0.037,0,2023
Pasaman Barat,0,1.86,0.022,0.008,0,0.017,0.001,2023
Kota Padang,0,1.276,0.003,0.007,-,0.02,0.001,2023
Kota Solok,0,1.433,0.001,0.01,-,0.015,0.003,2023
Kota Sawah Lunto,0,1.5,0.001,0.019,-,0.036,0.005,2023
Kota Padang Panjang,0,1.394,0.003,0.006,-,0.026,-,2023
Kota Bukittinggi,0,1.279,0.003,0.012,0,0.019,0.002,2023
Kota Payakumbuh,0,1.425,0.002,0.014,0.001,0.016,0,2023
Kota Pariaman,0,1.243,0.001,0.002,0,0.013,0.006,2023
Kuantan Singingi,0,1.358,0.005,0.015,0.002,0.049,0,2023
Indragiri Hulu,0,1.45,0.001,0.023,0,0.051,0.001,2023
Indragiri Hilir,0,1.434,0.01,0.017,0.005,0.096,0.001,2023
Pelalawan,0,1.788,0.005,0.037,0.007,0.052,-,2023
Siak,0,1.42,0.002,0.031,0.003,0.072,-,2023
Kampar,0,1.506,0.007,0.018,0,0.046,-,2023
Rokan Hulu,0,1.782,0,0.016,-,0.042,-,2023
Bengkalis,0,1.422,0.005,0.029,0.001,0.072,0.001,2023
Rokan Hilir,0,1.49,0,0.009,0.01,0.037,0.001,2023
Kepulauan Meranti,0,1.513,0.003,0.018,0.005,0.102,0,2023
Kota Pekanbaru,0,1.15,0.004,0.024,0.002,0.031,0.002,2023
Kota Dumai,0,1.372,0.002,0.026,0.001,0.046,0.001,2023
Kerinci,0,1.776,0.005,0.055,0.003,0.041,0.001,2023
Merangin,0,1.588,0.008,0.016,0.004,0.043,0,2023
Sarolangun,0,1.613,0.005,0.02,0.003,0.063,-,2023
Batang Hari,0,1.517,0.009,0.009,0,0.086,0,2023
Muaro Jambi,0,1.358,0.006,0.034,0.005,0.116,0,2023
Tanjung Jabung Timur,0,1.512,0.028,0.042,0.002,0.126,-,2023
Tanjung Jabung Barat,0,1.388,0.013,0.031,0.002,0.118,0.002,2023
